Country Name,Country Code,"Population, total",Population ages 15-64 (% of total population),Population ages 65 and above (% of total population),"Life expectancy at birth, total (years)",GDP (current US$),Tax revenue (% of GDP),Expense (% of GDP),"Central government debt, total (% of GDP)","Inflation, consumer prices (annual %)","School enrollment, primary (% gross)","School enrollment, secondary (% gross)","School enrollment, tertiary (% gross)",Access to electricity (% of population),Fixed broadband subscriptions (per 100 people),"Hospital beds (per 1,000 people)"
Dominican Republic,DOM,10999664,65.41,6.96,72.89,78844656298,12.39,21.2,,3.78,105.93,80.04,58.73,100,9.37,1.42
Ecuador,ECU,17588595,65.97,7.54,72.15,95865472000,12.94,28.12,,-0.34,98.15,94.69,56.91,98.9,13.51,1.32
"Egypt, Arab Rep.",EGY,107465134,62.08,4.71,70.99,3.84E+11,,,,5.04,98.9,83.16,40.01,100,8.54,1.13
El Salvador,SLV,6292731,65.81,8.1,71.06,24921190000,18.39,29.2,69.96,-0.37,91,66.2,30.82,99.7,9.4,1.08
Equatorial Guinea,GNQ,1596049,57.98,3.17,60.71,9893816008,8.01,12.25,,4.77,,,,66.7,0.11,
Eritrea,ERI,3555868,55.58,4,67.13,,,,,,,,,51.4,0.15,1
Estonia,EST,1329522,63.35,20.18,78.6,31330419851,20.72,36.11,23.77,-0.44,98.35,112.53,72.04,100,34.27,4.46
Eswatini,SWZ,1180655,60.61,3.95,59.69,3982236694,28.13,27.07,39.83,,,,,80,2.29,
Ethiopia,ETH,117190911,56.56,3.13,65.37,1.08E+11,6.2,8.41,,20.36,114.56,,,51.1,0.18,
Faroe Islands,FRO,52415,61.51,17.81,82.9,3262045883,,,,,,,,100,35.07,
Fiji,FJI,920422,65.27,5.54,67.92,4432466220,19.45,30.5,,-2.6,108.69,90.12,84.2,97.1,2.52,
Finland,FIN,5529543,61.85,22.49,81.93,2.72E+11,19.87,28.42,70.21,0.29,99.82,143.12,96.47,100,33.38,2.83
France,FRA,67571107,61.44,21.01,82.18,2.65E+12,14.68,24.73,123.17,0.48,102.65,104.57,68.87,100,46.47,6
French Polynesia,PYF,301920,68.64,9.24,82.22,5792545871,,,,,,,,100,22.92,
Gabon,GAB,2292573,59.57,3.9,66.53,15314577168,12.45,16.48,,1.35,,,,91.1,1.92,
