"Population, total",Population growth (annual %),Population ages 0-14 (% of total population),Population ages 65 and above (% of total population),Urban population (% of total population),Net migration,"Death rate, crude (per 1,000 people)","Life expectancy at birth, total (years)","Prevalence of HIV, total (% of population ages 15-49)","Mortality rate, under-5 (per 1,000 live births)","School enrollment, primary (% gross)","School enrollment, secondary (% gross)","School enrollment, tertiary (% gross)","Unemployment, total (% of total labor force) (modeled ILO estimate)"
19122059.0,-0.75,16.03,18.92,54.33,-12724.0,8.129999999999999,72.81,0.1,6.5,90.77,86.2,55.27,5.59
6719538.0,-0.34,17.72,15.59,74.93,-563.5,8.129999999999999,69.9,0.4,5.1,101.91,93.34,54.95,4.72
13461888.0,2.37,38.89,3.14,17.57,-6112.0,6.28,66.07,0.4,39.2,99.91,95.23,55.27,15.79
218764.0,1.77,37.72,5.11,17.74,-882.0,5.34,72.77,0.4,16.6,105.44,95.23,55.27,10.37
33745.0,-0.77,13.1,20.04,97.62,41.0,9.1,72.54,0.4,1.5,93.57,95.23,57.67,6.035
223107.0,2.02,40.04,3.76,75.07,-792.0,6.39,67.59,0.5,15.1,105.92,87.42,55.27,15.04
35950396.0,-0.13,26.18,2.6,84.51,-563.5,2.86,76.94,0.1,6.7,101.51,103.59,74.39,6.62
16876720.0,2.65,41.76,3.16,48.6,-10091.0,5.92,67.09,0.3,38.4,99.91,95.23,55.27,3.37
6834326.0,-0.94,14.27,20.72,56.65,243.0,8.129999999999999,72.78,0.1,5.3,96.83,92.87,69.29,10.06
99258.0,0.81,23.16,7.89,57.97,146.0,9.3,73.4,0.4,14.7,109.63,102.95,26.87,6.035
8420641.0,2.24,39.39,3.14,43.37,-1544.0,9.11,60.06,0.4,15.4,99.91,70.73,55.27,3.52
5453566.0,0.86,11.99,14.13,100.0,19321.0,5.8,83.09,0.4,2.2,99.87,103.04,55.27,4.64
40708.0,0.88,11.71,9.66,100.0,212.0,5.6,73.97,0.4,15.4,99.91,95.23,55.27,6.035
5447247.0,-0.21,15.88,17.23,53.82,1746.0,13.5,74.61,0.1,5.9,100.06,91.09,50.73,6.89
2108079.0,0.27,15.19,20.5,55.43,4568.0,11.0,80.68,0.1,2.4,99.78,108.18,55.27,4.75
707851.0,2.38,39.34,3.46,25.13,-808.0,5.03,70.35,0.4,18.9,99.91,95.23,55.27,0.87
17065581.0,3.15,47.25,2.6,46.73,-17071.0,11.6,55.28,0.4,15.4,99.91,95.23,55.27,6.035
59392255.0,1.0,28.67,5.97,67.85,10934.0,11.43,62.34,0.4,34.7,98.12,111.8,25.36,6.035
10748272.0,1.33,44.71,2.85,20.51,-563.5,11.05,54.98,0.4,15.4,99.91,95.23,55.27,13.87
